,Pagetag,Sentence
22,Sachin,"Tendulkar was born at Nirmal Nursing Home in Dadar, Bombay on 24 April 1973 to a Maharashtrian Rajapur Saraswat Brahmin family."
23,Sachin,"His father, Ramesh Tendulkar, was a well-known Marathi novelist & poet and his mother, Rajni, worked in the insurance industry."
24,Sachin,"Ramesh named Tendulkar after his favourite music director, Sachin Dev Burman."
25,Sachin,"Tendulkar has three elder siblings: two half-brothers Nitin and Ajit, and a half-sister Savita."
26,Sachin,"They were Ramesh's children by his first wife, who died after the birth of her third child."
27,Sachin,Tendulkar spent his formative years in the Sahitya Sahawas Cooperative Housing Society in Bandra (East).
28,Sachin,"As a young boy, Tendulkar was considered a bully, and often picked up fights with new children in his school."
29,Sachin,"He also showed an interest in tennis, idolising John McEnroe."
30,Sachin,"To help curb his mischievous and bullying tendencies, Ajit introduced the young Sachin to cricket in 1984."
31,Sachin,"He introduced him to Ramakant Achrekar, a famous cricket coach and a club cricketer of repute, at Shivaji Park, Dadar."
32,Sachin,"In the first meeting, the young Sachin did not play his best."
33,Sachin,"Ajit told Achrekar that he was feeling self-conscious due to the coach observing him, and was not displaying his natural game."
34,Sachin,"Ajit requested the coach to give him another chance at playing, but watch while hiding behind a tree."
35,Sachin,"This time, Sachin, apparently unobserved, played much better and was accepted at Achrekar's academy."
36,Sachin,"Achrekar was impressed with Tendulkar's talent and advised him to shift his schooling to Sharadashram Vidyamandir (English) High School, a school at Dadar which had a dominant cricket team and had produced many notable cricketers."
37,Sachin,"Prior to this, Tendulkar had attended the Indian Education Society's New English School in Bandra (East)."
38,Sachin,He was also coached under the guidance of Achrekar at Shivaji Park in the mornings and evenings.
39,Sachin,Tendulkar would practice for hours on end in the nets.
40,Sachin,"If he became exhausted, Achrekar would put a one-rupee coin on the top of the stumps, and the bowler who dismissed Tendulkar would get the coin."
41,Sachin,"If Tendulkar passed the whole session without getting dismissed, the coach would give him the coin."
42,Sachin,Tendulkar now considers the 13 coins he won then as some of his most prized possessions.
43,Sachin,"He moved in with his aunt and uncle, who lived near Shivaji Park, during this period, due to his hectic schedule."
44,Sachin,"Meanwhile, at school, he developed a reputation as a child prodigy."
45,Sachin,"He had become a common conversation point in local cricketing circles, where there were suggestions already that he would become one of the greats."
46,Sachin,Sachin consistently featured in the school team in the Matunga Gujarati Seva Mandal (MGSM) Shield.
47,Sachin,"Besides school cricket, he also played club cricket, initially representing John Bright Cricket Club in Bombay's premier club cricket tournament, the Kanga League, and later went on to play for the Cricket Club of India."
48,Sachin,"In 1987, at the age of 14, he attended the MRF Pace Foundation in Madras (now Chennai) to train as a fast bowler, but Australian fast bowler Dennis Lillee, who took a world record 355 Test wickets, was unimpressed, suggesting that Tendulkar focus on his batting instead."
49,Sachin,"On 20 January 1987, he also turned out as substitute for Imran Khan's side in an exhibition game at Brabourne Stadium in Bombay, to mark the golden jubilee of Cricket Club of India."
50,Sachin,"A couple of months later, former Indian batsman Sunil Gavaskar gave him a pair of his own ultra light pads and consoled him to not get disheartened for not getting the Bombay Cricket Association's ""Best junior cricket award"" (He was 14 years that time)."
51,Sachin,"""It was the greatest source of encouragement for me,"" Tendulkar said nearly 20 years later after surpassing Gavaskar's world record of 34 Test centuries."
52,Sachin,Sachin served as a ball boy in the 1987 Cricket World Cup when India played against England in the semifinal in Bombay.
53,Sachin,"In his season in 1988, Tendulkar scored a century in every innings he played."
54,Sachin,"He was involved in an unbroken 664-run partnership in a Lord Harris Shield inter-school game against St. Xavier's High School in 1988 with his friend and teammate Vinod Kambli, who would also go on to represent India."
55,Sachin,The destructive pair reduced one bowler to tears and made the rest of the opposition unwilling to continue the game.
56,Sachin,Tendulkar scored 326 (not out) in this innings and scored over a thousand runs in the tournament.
57,Sachin,"This was a record partnership in any form of cricket until 2006, when it was broken by two under-13 batsmen in a match held at Hyderabad in India."
58,Sachin,"On 14 November 1987, the 14-year-old Tendulkar was selected to represent Bombay in the Ranji Trophy, India's premier domestic First-class cricket tournament, for the 1987–88 season."
59,Sachin,"However, he was not selected for the final eleven in any of the matches, though he was often used as a substitute fielder."
60,Sachin,"He narrowly missed out on playing alongside his idol Gavaskar, who had retired from all forms of cricket after the 1987 Cricket World Cup."
61,Sachin,"A year later, on 11 December 1988, aged 15 years and 232 days, Tendulkar made his debut for Bombay against Gujarat at home and scored 100 not out in that match, making him the youngest Indian to score a century on debut in first-class cricket."
62,Sachin,"He was handpicked to play for the team by the then Bombay captain Dilip Vengsarkar after watching him easily negotiating India's best fast bowler at the time, Kapil Dev, in the Wankhede Stadium nets, where the Indian team had come to play against the touring New Zealand team."
63,Sachin,"He followed this by scoring a century in his first Deodhar and Duleep Trophies, which are also Indian domestic tournaments."
64,Sachin,Tendulkar finished the 1988–89 Ranji Trophy season as Bombay's highest run-scorer.
65,Sachin,"He scored 583 runs at an average of 67.77, and was the eighth highest run-scorer overall."
66,Sachin,"He also made an unbeaten century in the Irani Trophy match against Delhi at the start of the 1989–90 season, playing for the Rest of India."
67,Sachin,"Sachin was picked for a young Indian team to tour England twice, under the Star Cricket Club banner in 1988 and 1989."
68,Sachin,"In the famous 1990–91 Ranji Trophy final, in which Haryana defeated Bombay by two runs after leading in the first innings, Tendulkar's 96 from 75 deliveries was a key to giving Bombay a chance of victory as it attempted to chase 355 from only 70 overs on the final day."
69,Sachin,His first double century (204*) was for Mumbai while playing against the visiting Australian team at the Brabourne Stadium in 1998.
70,Sachin,"He is the only player to score a century on debut in all three of his domestic first-class tournaments (the Ranji, Irani, and Duleep Trophies)."
71,Sachin,"Another double century was an innings of 233* against Tamil Nadu in the semi-finals of the 2000 Ranji Trophy, which he regards as one of the best innings of his career."
72,Sachin,"In 1992, at the age of 19, Tendulkar became the first overseas-born player to represent Yorkshire, which prior to Tendulkar joining the team, never selected players even from other English counties."
73,Sachin,"Selected for Yorkshire as a replacement for the injured Australian fast bowler Craig McDermott, Tendulkar played 16 first-class matches for the county and scored 1070 runs at an average of 46.52."
74,Sachin,"Raj Singh Dungarpur is credited for the selection of Tendulkar for the Indian tour of Pakistan in late 1989, after one first class season."
75,Sachin,"The Indian selection committee had shown interest in selecting Tendulkar for the tour of the West Indies held earlier that year, but eventually did not select him, as they did not want him to be exposed to the dominant fast bowlers of the West Indies so early in his career."
76,Sachin,Tendulkar made his Test debut against Pakistan in Karachi in November 1989 aged 16 years and 205 days.
77,Sachin,"He made 15 runs, being bowled by Waqar Younis, who also made his debut in that match, but was noted for how he handled numerous blows to his body at the hands of the Pakistani pace attack."
78,Sachin,"In the fourth and final Test in Sialkot, he was hit on the nose by a bouncer bowled by Younis, but he declined medical assistance and continued to bat even as he gushed blood from it."
79,Sachin,"In a 20-over exhibition game in Peshawar, held in parallel with the bilateral series, Tendulkar made 53 runs off 18 balls, including an over in which he scored 27 runs (6, 4, 0, 6, 6, 6) off leg-spinner Abdul Qadir."
80,Sachin,"This was later called ""one of the best innings I have seen"" by the then Indian captain Krishnamachari Srikkanth."
81,Sachin,"In all, he scored 215 runs at an average of 35.83 in the Test series, and was dismissed without scoring a run in the only One Day International (ODI) he played."
82,Sachin,Thus Sachin Tendulkar became the youngest player to debut for India in Tests at the age of 16 years and 205 days and also the youngest player to debut for India in ODIs at the age of 16 years and 238 days.
83,Sachin,The series was followed by a tour of New Zealand in which he scored 117 runs at an average of 29.25 in Tests including an innings of 88 in the second Test.
84,Sachin,"He was dismissed without scoring in one of the two one-day games he played, and scored 36 in the other."
85,Sachin,"On his next tour, a summer tour to England of 1990, on 14 August, he became the second youngest cricketer to score a Test century as he made 119 not out in the second Test at Old Trafford in Manchester, an innings which contributed to a draw and saved India from certain defeat in the match."
86,Sachin,"Wisden described his innings as ""a disciplined display of immense maturity"" and also wrote:"
87,Sachin,"He looked the embodiment of India's famous opener, Gavaskar, and indeed was wearing a pair of his pads."
88,Sachin,"While he displayed a full repertoire of strokes in compiling his maiden Test hundred, most remarkable were his off-side shots from the back foot."
89,Sachin,"Though only 5ft 5in tall, he was still able to control without difficulty short deliveries from the English pacemen."
90,Sachin,"Tendulkar further enhanced his reputation as a future great during the 1991–92 tour of Australia held before the 1992 Cricket World Cup, that included an unbeaten 148 in the third Test at Sydney, making him the youngest batsman to score a century in Australia."
91,Sachin,"He then scored 114 on a fast, bouncing pitch in the final Test at Perth against a pace attack comprising Merv Hughes, Bruce Reid and Craig McDermott."
92,Sachin,"Hughes commented to Allan Border at the time that ""This little prick's going to get more runs than you, AB."""
93,Sachin,"Tendulkar's performance through the years 1994–1999 coincided with his physical peak, in his early twenties."
94,Sachin,"He opened the batting at Auckland against New Zealand in 1994, making 82 runs off 49 balls."
95,Sachin,He scored his first ODI century on 9 September 1994 against Australia in Sri Lanka at Colombo.
96,Sachin,It took him 78 ODIs to score his first century.
97,Sachin,"Tendulkar's rise continued when he was the leading run scorer at the 1996 World Cup, scoring two centuries."
98,Sachin,He was the only Indian batsman to perform well in the semi-final against Sri Lanka.
99,Sachin,"Tendulkar fell amid a batting collapse and the match referee, Clive Lloyd, awarded Sri Lanka the match after the crowd began rioting and throwing litter onto the field."
100,Sachin,"After the World Cup, in the same year against Pakistan at Sharjah, Indian captain Mohammed Azharuddin was going through a lean patch."
101,Sachin,Tendulkar and Navjot Singh Sidhu both made centuries to set a then record partnership for the second wicket.
102,Sachin,"After getting out, Tendulkar found Azharuddin in two minds about whether he should bat."
103,Sachin,Tendulkar convinced Azharuddin to bat and Azharuddin subsequently unleashed 24 runs off one over.
104,Sachin,India went on to win that match.
105,Sachin,It enabled India to post a score in excess of 300 runs for the first time in an ODI.
106,Sachin,"This was the beginning of a period at the top of the batting world, culminating in the Australian tour of India in early 1998, with Tendulkar scoring three consecutive centuries."
107,Sachin,"The focus was on the clash between Tendulkar, the world's most dominating batsman and Shane Warne, the world's leading spinner, both at the peak of their careers, clashing in a Test series."
108,Sachin,"In the lead-up to the series, Tendulkar simulated scenarios in the nets with Laxman Sivaramakrishnan, the former India leg spinner, donning the role of Warne."
109,Sachin,"In their tour opener, Australia faced the then Ranji Champions Mumbai at the Brabourne Stadium in a three-day first class match."
110,Sachin,Tendulkar made an unbeaten 204 as Shane Warne conceded 111 runs in 16 overs and Australia lost the match within three days.
111,Sachin,"He also had a role with the ball in the five-match ODI series in India following the Tests, including a five wicket haul in an ODI in Kochi."
112,Sachin,"Set 310 runs to win, Australia were cruising at 203 for 3 in the 31st over when Tendulkar turned the match for India, taking the wickets of Michael Bevan, Steve Waugh, Darren Lehmann, Tom Moody and Damien Martyn for 32 runs in 10 overs."
113,Sachin,"The Test match success was followed by two consecutive centuries in April 1998 in a Triangular cricket tournament in Sharjah – the first in a must-win game to take India to the finals and then again in the finals, both against Australia."
114,Sachin,These twin knocks were also known as the Desert Storm innings.
115,Sachin,"Following the series, Warne ruefully joked that he was having nightmares about his Indian nemesis."
116,Sachin,"Tendulkar's contribution in the ICC 1998 quarterfinal at Dhaka paved the way for India's entry into the semifinals, when he took four Australian wickets after scoring 141 runs in 128 balls."
117,Sachin,"The inaugural Asian Test Championship took place in February and March 1999, involving India, Pakistan, and Sri Lanka."
118,Sachin,"In the first match, between India and Pakistan in Eden Gardens, Tendulkar was run out for nine after colliding with Pakistan bowler Shoaib Akhtar."
119,Sachin,"Around 100,000 people came to support India during the initial four days of the tournament, breaking a 63-year-old record for aggregate Test attendance record."
120,Sachin,"The crowd's reaction to Tendulkar's dismissal was to throw objects at Akhtar, and the players were taken off the field."
121,Sachin,"The match resumed after Tendulkar and the president of the ICC appealed to the crowd; however, further rioting meant that the match was finished in front of a crowd of 200 people."
122,Sachin,Tendulkar scored his 19th Test century in the second Test and the match resulted in a draw with Sri Lanka.
123,Sachin,"India did not progress to the final, which was won by Pakistan, and refused to participate the next time the championship was held due to increasing political tensions between India and Pakistan."
124,Sachin,"In the Test against Pakistan at Chepauk in 1999, the first of a two-Test series, Sachin scored 136 in the fourth innings with India chasing 271 for victory."
125,Sachin,"However, he was out when India needed 17 more runs to win, triggering a batting collapse, and India lost the match by 12 runs."
126,Sachin,"The worst was yet to come as Professor Ramesh Tendulkar, Sachin's father, died in the middle of the 1999 Cricket World Cup."
127,Sachin,"Tendulkar flew back to India to attend the final rituals of his father, missing the match against Zimbabwe."
128,Sachin,"However, he returned to the World Cup scoring a century (140 not out off 101 balls) in his very next match against Kenya in Bristol."
129,Sachin,He dedicated this century to his father.
130,Sachin,Tendulkar's two tenures as captain of the Indian cricket team were not very successful.
131,Sachin,"When Tendulkar took over as captain in 1996, it was with huge hopes and expectations."
132,Sachin,"However, by 1997 the team was performing poorly."
133,Sachin,"Azharuddin was credited with saying ""Nahin jeetega!"
134,Sachin,Chote ki naseeb main jeet nahin hai!
135,Sachin,""", which translates into: ""He won't win!"
136,Sachin,It's not in the small one's destiny!
137,Sachin,"Tendulkar, succeeding Azharuddin as captain for his second term, led India on a tour of Australia, where the visitors were beaten 3–0 by the newly crowned world champions."
138,Sachin,"Tendulkar, however, won the player of the series award as well as player of the match in one of the games."
139,Sachin,"After another Test series defeat, this time by a 0–2 margin at home against South Africa, Tendulkar resigned, and Sourav Ganguly took over as captain in 2000."
140,Sachin,"During the Indian team's 2007 tour of England, the desire of Rahul Dravid to resign from the captaincy became known."
141,Sachin,"The BCCI President Sharad Pawar offered the captaincy to Tendulkar, who instead recommended Mahendra Singh Dhoni to take over the reins."
142,Sachin,"Pawar later revealed this conversation, crediting Tendulkar for first forwarding the name of Dhoni, who since achieved much success as captain."
143,Sachin,"In India's 2001 tour of South Africa in the second test match between India and South Africa at St George's Park, Port Elizabeth, match referee Mike Denness fined four Indian players for excessive appealing, as well as fined the Indian captain Sourav Ganguly for not controlling his team."
144,Sachin,Tendulkar was given a suspended ban of one game by Denness in light of alleged ball tampering.
145,Sachin,Television cameras picked up images that suggested Tendulkar may have been involved in cleaning the seam of the cricket ball.
146,Sachin,"This can, under some conditions, amount to altering the condition of the ball."
147,Sachin,Denness found Sachin Tendulkar guilty of ball tampering charges and handed him a one Test match ban.
148,Sachin,"The incident escalated to include sports journalists accusing Denness of racism, and led to Denness being barred from entering the venue of the third Test match."
149,Sachin,The ICC revoked the status of the match as a Test as the teams rejected the appointed referee.
150,Sachin,The charges against Tendulkar and Sehwag's ban for excessive appealing triggered a massive backlash from the Indian public.
151,Sachin,"Sachin Tendulkar continued performing well in Test cricket in 2001 and 2002, with some pivotal performances with both bat and ball."
152,Sachin,Tendulkar took three wickets on the final day of the famous Kolkata Test against Australia in 2001.
153,Sachin,"Tendulkar took the key wickets of Matthew Hayden and Adam Gilchrist, who were centurions in the previous Test."
154,Sachin,He also take a wicket of Shane Warne.
155,Sachin,This three wicket change the result of test match from draw to win of India.
156,Sachin,"In the five-match ODI series that followed, he took his 100th wicket in ODIs, claiming the wicket of then Australian captain Steve Waugh in the final match at the Fatorda Stadium in Goa."
157,Sachin,"In the 2002 series in the West Indies, Tendulkar started well, scoring 79 in the first Test."
158,Sachin,"In the second Test at Port of Spain, Sachin Tendulkar scored 117 in the first innings, his 29th Test century in his 93rd Test match, to equal Sir Donald Bradman's record of 29 Test hundreds."
159,Sachin,"He was awarded by Sports car ""Ferrari"" by Michael Schumacher for achieving this feat."
160,Sachin,"Then, in a hitherto unprecedented sequence, he scored 0, 0, 8 and 0 in the next four innings."
161,Sachin,"He returned to form in the last Test scoring 41 and 86, one half century."
162,Sachin,"However, India lost the series."
163,Sachin,"In this period, in the third Test match against England in August 2002, Sachin scored his 30th Test century to surpass Bradman's haul, in his 99th Test match."
164,Sachin,"Tendulkar made 673 runs in 11 matches in the 2003 Cricket World Cup, helping India reach the final."
165,Sachin,"While Australia retained the trophy that they had won in 1999, Tendulkar was given the Man of the Tournament award."
166,Sachin,"He continued to score heavily in ODI cricket that year, with two hundreds in a tri-series involving New Zealand and Australia."
167,Sachin,"As a part-time bowler, he dismissed an exhausted centurion, Matthew Hayden in the tri-series final."
168,Sachin,"The drawn series as India toured Australia in 2003–04 saw Tendulkar making his mark in the last Test of the series, with 241 not out from 436 ball by 33 four at strike rate of 55.27 in Sydney, putting India in a virtually unbeatable position."
169,Sachin,He spend 613 minute at crease.
170,Sachin,India have a first inning score of 705/7.
171,Sachin,He followed up the innings with an unbeaten 60 in the second innings of the Test.
172,Sachin,"Prior to this Test match, he had had an unusually horrible run of form, failing in all six innings in the preceding three Tests."
173,Sachin,"It was no aberration that 2003 was his worst year in Test cricket, with an average of 17.25 and just one fifty."
174,Sachin,Tendulkar scored an unbeaten 194 against Pakistan at Multan in the following series.
175,Sachin,Indian captain Rahul Dravid declared before Tendulkar reached 200; had he done so it would have been the fourth time he had passed the landmark in Tests.
176,Sachin,Tendulkar said that he was disappointed and that the declaration had taken him by surprise.
177,Sachin,Many former cricketers commented that Dravid's declaration was in bad taste.
178,Sachin,"After the match, which India won, Dravid said that the matter had been discussed internally and put to rest."
179,Sachin,"A tennis elbow injury then took its toll on Tendulkar, leaving him out of the side for most of the year, coming back only for the last two Tests when Australia toured India in 2004."
180,Sachin,"He played a part in India's victory in Mumbai in that series with a fast 55, though Australia took the series 2–1."
181,Sachin,"On 10 December 2005 at Feroz Shah Kotla, Tendulkar scored his record-breaking 35th Test century, against the Sri Lankans."
182,Sachin,"After this, Tendulkar endured the longest spell of his career without a Test century: 17 innings elapsed before he scored 101 against Bangladesh in May 2007."
183,Sachin,Tendulkar scored his 39th ODI hundred on 6 February 2006 in a match against Pakistan.
184,Sachin,"He followed with a 42 in the second One-Day International against Pakistan on 11 February 2006, and then a 95 in hostile, seaming conditions on 13 February 2006 in Lahore, which set up an Indian victory."
185,Sachin,"On 19 March 2006, after being dismissed for only one run against England in the first innings of the third Test in his home ground, Wankhede, Tendulkar was booed off the ground by a section of the crowd, the first time that he had ever faced such flak."
186,Sachin,"Tendulkar ended the three-Test series without a half-century to his credit, and the need for a shoulder operation raised more questions about his longevity."
187,Sachin,Tendulkar's comeback came in the DLF cup in Malaysia and he was the only Indian batsman to shine.
188,Sachin,"In his comeback match, against West Indies on 14 September 2006, Tendulkar responded to his critics who believed that his career was inexorably sliding with his 40th ODI century."
189,Sachin,"Though he scored 141 not out, West Indies won the rain-affected match by the D/L method."
190,Sachin,"During the preparation for the 2007 World Cup, Tendulkar's attitude was criticised by Indian team coach Greg Chappell."
191,Sachin,"Chappell reportedly felt that Tendulkar would be more useful down the order, while the latter felt that he would be better off opening the innings, the role he had played for most of his career."
192,Sachin,Chappell also believed that Tendulkar's repeated failures were hurting the team's chances.
193,Sachin,"In a rare show of emotion, Tendulkar hit out at the comments attributed to Chappell by pointing out that no coach had ever suggested his attitude towards cricket was incorrect."
194,Sachin,"On 7 April 2007, the Board of Control for Cricket in India issued a notice to Tendulkar asking for an explanation for his comments made to the media."
195,Sachin,Chappell subsequently resigned as coach but said that this affair had no bearing on his decision and that he and Tendulkar were on good terms.
196,Sachin,"At the World Cup in the West Indies, Tendulkar and the Indian cricket team led by Rahul Dravid had a dismal campaign."
197,Sachin,"Tendulkar, who was pushed to bat lower down the order had scores of 7 against Bangladesh, 57 not out against Bermuda and 0 against Sri Lanka."
198,Sachin,"As a result, former Australian captain Ian Chappell, brother of Greg, called for Tendulkar to retire in his newspaper column."
199,Sachin,"In the subsequent Test series against Bangladesh, Tendulkar returned to his opening slot and was chosen as the Man of the Series."
200,Sachin,He continued by scoring 99 and 93 in the first two matches of the Future Cup against South Africa.
201,Sachin,"During the second match, he also became the first to score 15,000 runs in ODIs."
202,Sachin,He was the leading run scorer and was adjudged the Man of the Series.
203,Sachin,"On the second day of the Nottingham Test on 28 July 2007, Tendulkar became the third cricketer to complete 11,000 Test runs."
204,Sachin,"In the subsequent one-day series against England, Tendulkar was the leading run scorer from India with an average of 53.42."
205,Sachin,In the ODI Series against Australia in October 2007 Tendulkar was the leading Indian run scorer with 278 runs.
206,Sachin,"Tendulkar was dismissed seven times in 2007 between 90 and 100, including three times at 99, leading some to suggestions that he struggles to cope with nervousness in this phase of his innings."
207,Sachin,Tendulkar has got out 27 times in the 90s during his international career.
208,Sachin,"In a five-ODI series against Pakistan, he was caught by Kamran Akmal off the bowling of Umar Gul for 99 in the second match at Mohali, and in the fourth match of that series, he got out in the 90s for a second time, scoring 97 before dragging a delivery from Gul on to his stumps."
209,Sachin,"In the Border-Gavaskar Trophy, 2007–08, Tendulkar showed exceptional form, becoming the leading run scorer with 493 runs in four Tests, despite consistently failing in the second innings."
210,Sachin,"Sachin scored 62 runs in the first innings of the first Test at the MCG in Melbourne, but could not prevent a heavy 337-run win for Australia."
211,Sachin,"In the controversial New Years' Test at Sydney, Tendulkar scored an unbeaten 154, even though India lost the Test."
212,Sachin,"This was his third century at the SCG and his 38th Test century overall, earning him an average of 326 at the ground at the time of completing the innings."
213,Sachin,"In the third Test at the WACA cricket ground in Perth, Sachin was instrumental in India's first innings score of 330, scoring a well-compiled 71."
214,Sachin,"India went on to record a historic triumph at the WACA, ending Australia's run of 16 consecutive wins."
215,Sachin,"In the fourth Test at the Adelaide Oval, which ended in a draw, he scored 153 in the first innings, being involved in a crucial 126 run stand with V.V.S."
216,Sachin,Laxman for the fifth wicket to lead India to a score of 282 for 5 from 156 for 4.
217,Sachin,He secured the Man of the Match award.
218,Sachin,"In the One-Day International Commonwealth Bank Tri-Series involving India, Sri Lanka and Australia, Tendulkar became the only batsman to complete 16,000 runs in ODIs."
219,Sachin,He achieved this feat against Sri Lanka on 5 February 2008 at the Gabba in Brisbane.
220,Sachin,"He started the series wth scores of 10, 35, 44 and 32."
221,Sachin,"His form dipped a bit in the middle of the tournament, but Tendulkar came back strongly in India's must-win game against Sri Lanka at the Bellerive Oval in Hobart, scoring 63 off 54 balls."
222,Sachin,"He finished the series with a match winning 117 not out off 120 balls in the first final, and 91 runs in the second final."
223,Sachin,Both the knocks were nominated to be the ODI Batting Performance of the year by ESPNCricinfo.
224,Sachin,South Africa toured in March and April 2008 for a three-Test series.
225,Sachin,"Tendulkar scored a five-ball duck in his only innings of the series; he sustained a groin strain in the match and as a result was forced not only to miss the second and third Tests, but also the tri-series involving Bangladesh, the 2008 Asia Cup, and the first half of the inaugural season of the IPL."
226,Sachin,"Before the Indian cricket team's tour of Sri Lanka in July 2008, Tendulkar needed 177 runs to go past Brian Lara's record of Test 11,953 runs."
227,Sachin,"However, he failed in all six innings, scoring a total of 95 runs."
228,Sachin,India lost the series and his average of 15.83 was his worst in a Test series with at least three matches.
229,Sachin,"In the following ODI series against Sri Lanka, Tendulkar was sidelined due to injury."
230,Sachin,"However, during the following Australia tour of India, he returned to fitness and form, scoring 13 and 49 in the first Test before making 88 in the first innings of the second Test, breaking the record for most Test runs held by Brian Lara."
231,Sachin,"He also reached the 12,000 run mark when he was on 61."
232,Sachin,He described the achievement as the biggest in 19 years of his career on the day he achieved the record.
233,Sachin,"He made a fifty in the third Test and 109 in the fourth, as India won the series 2–0 and regained the Border-Gavaskar Trophy."
234,Sachin,"Tendulkar was again out of the first three ODIs of a seven-match ODI series at home against England due to an injury, but he made 11 in the fourth ODI and 50 in the fifth, before the series was called off due to the 2008 Mumbai terrorist attacks, the scoreline being 5–0 to India."
235,Sachin,"England returned for a two-match Test series in December 2008, and the first Test, which was originally planned to be held in Mumbai, was shifted to Chennai following the terror attacks."
236,Sachin,"Chasing 387 for victory in that match, Tendulkar scored 103 not out and shared a 163-run unbroken fifth wicket partnership with Yuvraj Singh."
237,Sachin,"This was his third century in the fourth innings of a Test match, and the first which resulted in a win."
238,Sachin,He dedicated this century to the victims of the Mumbai terror attacks.
239,Sachin,The knock was nominated to be one of the Test Batting Performance of the year by ESPNCricinfo.
240,Sachin,"Tendulkar scored poorly in the second Test at Mohali, which ended in a draw."
241,Sachin,India won the series 1–0.
242,Sachin,"In early 2009, India revisited Sri Lanka for five ODIs, as the Pakistan series had been cancelled due to the security situation in Pakistan and the attacks in Mumbai."
243,Sachin,"Tendulkar scored 5, 6 and 7 in the first three matches, being dismissed leg before wicket in all of them, and did not play in the remaining two matches."
244,Sachin,"India's next assignment was an away series against New Zealand, consisting of three Tests and five ODIs."
245,Sachin,"In the ODI series, Tendulkar made an unbeaten 163 in the third match before stomach cramps forced him to end his innings."
246,Sachin,"India made 392, won the match and eventually won the series 3–1."
247,Sachin,"Tendulkar made 160 in the first Test, his 42nd Test century, and India won."
248,Sachin,"He made 49 and 64 in the second Test and 62 and 9 in the third, in which play was halted on the last day due to rain with India needing only two wickets to win."
249,Sachin,India won the series 1–0.
250,Sachin,"Tendulkar rested himself for the ODI tour of West Indies, but was back for the Compaq Cup Tri Series between India, Sri Lanka and New Zealand in early September 2009."
251,Sachin,"He made 46 and 27 in the league matches before notching up 138 in the final, as India made 319 and won by 46 runs."
252,Sachin,This was Tendulkar's sixth century in a final of an ODI tournament and his third consecutive score of over 50 in such finals.
253,Sachin,"Tendulkar played only one innings in the ICC Champions trophy in South Africa, scoring 8 against Pakistan as India lost."
254,Sachin,"The next match against Australia was abandoned due to rain and he was out with a stomach infection in the third match against the West Indies, as India were eliminated."
255,Sachin,"Australia returned for a seven-match ODI series in India in October, and Tendulkar made 14, 4, 32 and 40 in the first four games."
256,Sachin,"In the fifth match, with the series tied at 2–2, Australia amassed 350/4 in 50 overs."
